44113 | MH FALLA RESPIRATORIA W/MCC
44121 | MH EMBOLISMO PULMONAR
44122 | MH EMBOLISMO PULMONAR W/CC
44123 | MH EMBOLISMO PULMONAR W/MCC
44131 | MH TRAUMATISMO TORÁCICO MAYOR
44132 | MH TRAUMATISMO TORÁCICO MAYOR W/CC
44133 | MH TRAUMATISMO TORÁCICO MAYOR W/MCC
44141 | MH NEOPLASIAS RESPIRATORIAS
44142 | MH NEOPLASIAS RESPIRATORIAS W/CC
44143 | MH NEOPLASIAS RESPIRATORIAS W/MCC
44151 | MH INFECCIONES E INFLAMACIONES RESPIRATORIAS
44152 | MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/CC
44153 | MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC
44161 | MH NEUMONÍA SIMPLE Y TOS FERINA
44162 | MH NEUMONÍA SIMPLE Y TOS FERINA W/CC
44163 | MH NEUMONÍA SIMPLE Y TOS FERINA W/MCC
44171 | MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA
44172 | MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA W/CC
44173 | MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA W/MCC
44181 | MH BRONQUIOLITIS Y ASMA
44182 | MH BRONQUIOLITIS Y ASMA W/CC
44183 | MH BRONQUIOLITIS Y ASMA W/MCC
44191 | MH ENFERMEDAD PULMONAR INTERSTICIAL
44192 | MH ENFERMEDAD PULMONAR INTERSTICIAL W/CC
44193 | MH ENFERMEDAD PULMONAR INTERSTICIAL W/MCC
44201 | MH DERRAME PLEURAL Y NEUMOTÓRAX
44202 | MH DERRAME PLEURAL Y NEUMOTÓRAX W/CC
44203 | MH DERRAME PLEURAL Y NEUMOTÓRAX W/MCC
44211 | MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO
44212 | MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO W/CC
44213 | MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO W/MCC
51011 | PH TRASPLANTE CARDIACO Y/O PULMONAR
51012 | PH TRASPLANTE CARDIACO Y/O PULMONAR W/CC
51013 | PH TRASPLANTE CARDIACO Y/O PULMONAR W/MCC
51021 | PH PROCEDIMIENTOS SOBRE VÁLVULAS CARDIACAS CON CATETERISMO CARDIACO
51022 | PH PROCEDIMIENTOS SOBRE VÁLVULAS CARDIACAS CON CATETERISMO CARDIACO W/CC
51023 | PH PROCEDIMIENTOS SOBRE VÁLVULAS CARDIACAS CON CATETERISMO CARDIACO W/MCC
51031 | PH REPARACIÓN CARDIOTORÁCICA COMPLEJA DE ANOMALÍA CARDIACA
51032 | PH REPARACIÓN CARDIOTORÁCICA COMPLEJA DE ANOMALÍA CARDIACA W/CC
51033 | PH REPARACIÓN CARDIOTORÁCICA COMPLEJA DE ANOMALÍA CARDIACA W/MCC
51041 | PH PROCEDIMIENTOS SOBRE VÁLVULAS CARDIACAS SIN CATETERISMO CARDIACO
51042 | PH PROCEDIMIENTOS SOBRE VÁLVULAS CARDIACAS SIN CATETERISMO CARDIACO W/CC
51043 | PH PROCEDIMIENTOS SOBRE VÁLVULAS CARDIACAS SIN CATETERISMO CARDIACO W/MCC
51051 | PH DERIVACIÓN AORTOCORONARIA CON CATETERISMO CARDIACO
51052 | PH DERIVACIÓN AORTOCORONARIA CON CATETERISMO CARDIACO W/CC
51053 | PH DERIVACIÓN AORTOCORONARIA CON CATETERISMO CARDIACO W/MCC
51061 | PH OTROS PROCEDIMIENTOS CARDIOTORÁCICOS
51062 | PH OTROS PROCEDIMIENTOS CARDIOTORÁCICOS W/CC
51063 | PH OTROS PROCEDIMIENTOS CARDIOTORÁCICOS W/MCC
51071 | PH DERIVACIÓN AORTOCORONARIA SIN CATETERISMO CARDIACO
51072 | PH DERIVACIÓN AORTOCORONARIA SIN CATETERISMO CARDIACO W/CC
51073 | PH DERIVACIÓN AORTOCORONARIA SIN CATETERISMO CARDIACO W/MCC
51111 | PH INSERCIÓN DE DESFIBRILADOR CARDIACO Y SISTEMA DE ASISTENCIA CARDIACA
51112 | PH INSERCIÓN DE DESFIBRILADOR CARDIACO Y SISTEMA DE ASISTENCIA CARDIACA W/CC
51113 | PH INSERCIÓN DE DESFIBRILADOR CARDIACO Y SISTEMA DE ASISTENCIA CARDIACA W/MCC
51121 | PH PROCEDIMIENTOS VASCULARES TORÁCICOS COMPLEJOS
51122 | PH PROCEDIMIENTOS VASCULARES TORÁCICOS COMPLEJOS W/CC
51123 | PH PROCEDIMIENTOS VASCULARES TORÁCICOS COMPLEJOS W/MCC
51131 | PH PROCEDIMIENTOS VASCULARES ABDOMINALES COMPLEJOS
51132 | PH PROCEDIMIENTOS VASCULARES ABDOMINALES COMPLEJOS W/CC
51133 | PH PROCEDIMIENTOS VASCULARES ABDOMINALES COMPLEJOS W/MCC
51141 | PH INSERCIÓN DE MARCAPASOS CARDIACO PERMANENTE
51142 | PH INSERCIÓN DE MARCAPASOS CARDIACO PERMANENTE W/CC
51143 | PH INSERCIÓN DE MARCAPASOS CARDIACO PERMANENTE W/MCC
51151 | PH CATETERISMO CARDIACO
51152 | PH CATETERISMO CARDIACO W/CC
51153 | PH CATETERISMO CARDIACO W/MCC
51161 | PH REVISIÓN DE MARCAPASOS CARDIACO Y DESFIBRILADOR EXCEPTO SUSTITUCIÓN GENERADOR
51162 | PH REVISIÓN DE MARCAPASOS CARDIACO Y DESFIBRILADOR EXCEPTO SUSTITUCIÓN GENERADOR W/CC
51163 | PH REVISIÓN DE MARCAPASOS CARDIACO Y DESFIBRILADOR EXCEPTO SUSTITUCIÓN GENERADOR W/MCC
51171 | PH LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS
51172 | PH LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS W/CC
51173 | PH LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS W/MCC
51201 | PH OTROS PROCEDIMIENTOS SOBRE APARATO CIRCULATORIO
51202 | PH OTROS PROCEDIMIENTOS SOBRE APARATO CIRCULATORIO W/CC
51203 | PH OTROS PROCEDIMIENTOS SOBRE APARATO CIRCULATORIO W/MCC
51301 | PH SUSTITUCIÓN DE GENERADOR DE DESFIBRILADOR Y MARCAPASOS CARDIACO
51302 | PH SUSTITUCIÓN DE GENERADOR DE DESFIBRILADOR Y MARCAPASOS CARDIACO W/CC
51303 | PH SUSTITUCIÓN DE GENERADOR DE DESFIBRILADOR Y MARCAPASOS CARDIACO W/MCC
51401 | PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS
51402 | PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS W/CC
51403 | PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS W/MCC
52110 | PA INSERCIÓN DE SISTEMA DE DESFIBRILADOR Y SOPORTE CARDIACO
52120 | PA PROCEDIMIENTOS VASCULARES TORÁCICOS COMPLEJOS
52130 | PA PROCEDIMIENTOS VASCULARES ABDOMINALES COMPLEJOS
52140 | PA INSERCIÓN DE MARCAPASOS CARDIACO PERMANENTE
52150 | PA CATETERISMO CARDIACO
52160 | PA SUSTITUCIÓN DE MARCAPASOS CARDIACO Y REVISIÓN DE DESFIBRILADOR EXCEPTO SUSTITUCIÓN DE GENERADOR
52170 | PA LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS
52210 | PA ANGIOGRAFÍA ARTERIAL NO CARDIACA
52220 | PA PROCEDIMIENTO VASCULARES MODERADAMENTE COMPLEJOS
52230 | PA PROCEDIMIENTO VASCULARES NO COMPLEJOS
52310 | PA INSERCIÓN O SUSTITUCIÓN DE GENERADOR DE DESFIBRILADOR CARDIACO
52320 | PA INSERCIÓN O SUSTITUCIÓN DE MARCAPASOS CARDIACO
52410 | PA PROCEDIMIENTOS ELECTROFISIOLÓGICOS
52420 | PA ANGIOPLASTIA CORONARIA Y OTROS PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS
53100 | PA RESUCITACIÓN CARDIACA
53110 | PA CARDIOVERSIÓN
53120 | PA OTROS PROCEDIMIENTOS CARDIACOS MENORES
53130 | PA ECOCARDIOGRAFÍA
53150 | PA PROCEDIMIENTOS DE MONITORIZACIÓN Y FUNCIÓN CARDIOVASCULAR
54101 | MH INFARTO AGUDO DE MIOCARDIO
54102 | MH INFARTO AGUDO DE MIOCARDIO W/CC
54103 | MH INFARTO AGUDO DE MIOCARDIO W/MCC
54111 | MH ENDOCARDITIS AGUDA Y SUBAGUDA
54112 | MH ENDOCARDITIS AGUDA Y SUBAGUDA W/CC
54113 | MH ENDOCARDITIS AGUDA Y SUBAGUDA W/MCC
54121 | MH INSUFICIENCIA CARDIACA
54122 | MH INSUFICIENCIA CARDIACA W/CC
54123 | MH INSUFICIENCIA CARDIACA W/MCC
54131 | MH TROMBOFLEBITIS VENOSA PROFUNDA
54132 | MH TROMBOFLEBITIS VENOSA PROFUNDA W/CC
54133 | MH TROMBOFLEBITIS VENOSA PROFUNDA W/MCC
54141 | MH PARO CARDIACO SIN EXPLICACIÓN
54142 | MH PARO CARDIACO SIN EXPLICACIÓN W/CC
54143 | MH PARO CARDIACO SIN EXPLICACIÓN W/MCC
54151 | MH OTRAS ENFERMEDADES VASCULARES Y PERIFÉRICAS
54152 | MH OTRAS ENFERMEDADES VASCULARES Y PERIFÉRICAS W/CC
54153 | MH OTRAS ENFERMEDADES VASCULARES Y PERIFÉRICAS W/MCC
